YAL001C_idr_2	YBR123C_idr_5	YOR123C_idr_1	YMR311C_idr_3	YFL023W_idr_15	YIL017C_idr_9	YCR081W_idr_17	YML062C_idr_6	YKR028W_idr_9	YER172C_idr_20	YLR055C_idr_1	0.887185642569883	0.864594753171467	0.860289199049922	0.858046514480649	0.856949732910058	0.856265613756331	0.855215574806606	0.851965355540259	0.850270894598019	0.846697820200706
YAL001C_idr_3	YDL036C_idr_1	YMR039C_idr_1	YJL186W_idr_1	YDR452W_idr_1	YKR010C_idr_12	YLR393W_idr_1	YOR005C_idr_4	YLR191W_idr_5	YPL215W_idr_1	YOR037W_idr_1	0.59296812465372	0.565400910126781	0.5622616789535	0.560264914583485	0.558379864208879	0.552859696001952	0.552135850293832	0.545689059989991	0.544692083359593	0.543889889746263
YAL001C_idr_5	YDR478W_idr_3	YMR269W_idr_5	YNR015W_idr_1	YKL114C_idr_2	YMR233W_idr_3	YPL146C_idr_8	YDL173W_idr_7	YPL210C_idr_3	YGL110C_idr_7	YPL217C_idr_4	0.743835278776566	0.700406432426058	0.698195631037016	0.690177843233464	0.681594055767547	0.671745874692685	0.663614605037395	0.661899066494271	0.659433117462497	0.656416644944908
YAL002W_idr_1	YOR138C_idr_3	YDR406W_idr_1	YGR097W_idr_1	YKL051W_idr_2	YGR125W_idr_1	YDR456W_idr_4	YJR106W_idr_4	YBL101C_idr_7	YER093C_idr_7	YPR115W_idr_1	0.709679501711701	0.689347331024847	0.656524245893243	0.644030918528504	0.638212116093995	0.636933473820942	0.63541338864216	0.634899756347648	0.633548209320071	0.62977927787687
YAL009W_idr_1	YKL038W_idr_1	YNL095C_idr_3	YLR152C_idr_2	YFL033C_idr_15	YPL181W_idr_3	YLR133W_idr_1	YGR202C_idr_1	YBL029W_idr_3	YDR229W_idr_2	YKL105C_idr_3	0.633861828387069	0.617476569500486	0.612124739044982	0.60469251866495	0.59993238574646	0.599716267938621	0.596931926769947	0.596609379249067	0.59280590802279	0.583807967914168
YAL010C_idr_2	YJL013C_idr_2	YIL104C_idr_4	YOR145C_idr_1	YKR096W_idr_3	YBR235W_idr_2	YKL121W_idr_1	YNL257C_idr_23	YNL221C_idr_2	YOL068C_idr_3	YPL020C_idr_12	0.43187138691039	0.424340004363924	0.415950464585098	0.406370390628538	0.403459819111497	-0.401328984661219	0.386234010156697	0.380790316210792	0.374532461170014	0.358513563336758
YAL011W_idr_1	YLR320W_idr_3	YBR114W_idr_1	YNR011C_idr_1	YPL181W_idr_3	YJL129C_idr_2	YDR362C_idr_1	YMR044W_idr_4	YKL049C_idr_2	YDR014W_idr_2	YPL019C_idr_5	0.71982097469526	0.710802800018685	0.68553291514816	0.669600804797425	0.669433402118218	0.667403389800924	0.662826749897748	0.658752025964836	0.656000392451259	0.652090233705458
YAL011W_idr_3	YFR013W_idr_1	YLR175W_idr_3	YDL212W_idr_3	YDR083W_idr_3	YBL008W_idr_1	YCR004C_idr_2	YGR072W_idr_6	YGR072W_idr_5	YGR280C_idr_4	YIL010W_idr_1	0.736232329555909	0.71903358167912	0.71819906204879	0.718185671356572	0.701141647053048	0.697002811166894	0.693088678494036	0.692986484433341	0.673898436370632	0.673722051212944
YAL011W_idr_4	YER030W_idr_1	YMR044W_idr_4	YNL299W_idr_3	YDR014W_idr_2	YOL006C_idr_1	YJL033W_idr_5	YLR002C_idr_3	YIR002C_idr_4	YOR018W_idr_3	YDL122W_idr_6	0.711583851401376	0.676263294224644	0.666538767012104	0.655503055974959	0.623340517084995	0.618148409981043	0.617975799649688	0.609123363059674	0.608078522402447	0.606129235055974
YAL013W_idr_1	YLR181C_idr_2	YDL002C_idr_4	YLR033W_idr_3	YDR465C_idr_4	YMR227C_idr_4	YGL060W_idr_2	YLR283W_idr_4	YOL144W_idr_4	YNL224C_idr_10	YDR080W_idr_1	0.908927368346692	0.897210098533213	0.895003331033548	0.890825717220388	0.886568625361963	0.875607480441606	0.87422966087446	0.873036813206872	0.868699736596012	0.862194905056207
